tradeCreatedAt,orderId,symbol,side,price,size,funds,fee,liquidity,feeCurrency,orderType,tax,Unnamed: 12,fees_paid,trade_value,profit_loss,cumulative_profit_loss
2024-11-16 00:12:19,673772d098326e0007907493,PNUT-USDT,buy,2.1645,2.97,6.428565,0.006428565,maker,USDT,limit,0,,0.006428565,6.434993565,-0.012176999999999319,-0.29256800000000033
2024-11-16 00:12:18,673772e2d181be0007631774,PNUT-USDT,sell,2.1759,1.63,3.546717,0.003546717,maker,USDT,limit,0,,0.003546717,3.550263717,0.03385800000000023,-0.2587100000000001
2024-11-16 00:12:17,673772daf53c5a0007dbc090,PNUT-USDT,buy,2.1845,1.62,3.53889,0.00353889,maker,USDT,limit,0,,0.00353889,3.54242889,-0.013931999999999905,-0.272642
2024-11-16 00:12:09,67377247d181be00075ede19,PNUT-USDT,sell,2.1846,1.66,3.626436,0.003626436,maker,USDT,limit,0,,0.003626436,3.630062436,0.00016200000000034188,-0.27247999999999967
2024-11-16 00:11:59,673772ce1d476000076769ae,PNUT-USDT,sell,2.1675,2.97,6.437475,0.006437475,maker,USDT,limit,0,,0.006437475,6.443912475,0.0,-0.27247999999999967
2024-11-16 00:11:57,673772cdab0f0a00078c879e,PNUT-USDT,buy,2.1617,0.65,1.405105,0.001405105,taker,USDT,market,0,,0.001405105,1.406510105,0.0037699999999998737,-0.2687099999999998
2024-11-16 00:11:57,673772cdab0f0a00078c879e,PNUT-USDT,buy,2.1615,1.04,2.24796,0.00224796,taker,USDT,market,0,,0.00224796,2.25020796,0.0,-0.2687099999999998
2024-11-16 00:09:43,67377245392ff70007ab2748,PNUT-USDT,buy,2.1418,1.66,3.555388,0.003555388,maker,USDT,limit,0,,0.003555388,3.5589433880000003,0.0,-0.2687099999999998
2024-11-16 00:09:40,6737719fc95c310007f23f77,PNUT-USDT,sell,2.1455,1.69,3.625895,0.003625895,maker,USDT,limit,0,,0.003625895,3.6295208949999997,0.006142000000000429,-0.26256799999999936
2024-11-16 00:06:54,6737719e57d336000763c1e6,PNUT-USDT,buy,2.1035,1.69,3.554915,0.003554915,taker,USDT,limit,0,,0.003554915,3.558469915,0.07098000000000043,-0.19158799999999893
2024-11-16 00:06:53,6737715e1d476000075d4b51,PNUT-USDT,sell,2.1076,1.72,3.625072,0.003625072,maker,USDT,limit,0,,0.003625072,3.628697072,0.006929000000000363,-0.18465899999999857
2024-11-16 00:06:46,673771952ab01000079cce82,PNUT-USDT,sell,2.0984,1.69,3.546296,0.003546296,maker,USDT,limit,0,,0.003546296,3.549842296,0.0,-0.18465899999999857
2024-11-16 00:06:44,673771944bcca6000708b7b4,PNUT-USDT,buy,2.0943,3.16,6.617988,0.006617988,taker,USDT,market,0,,0.006617988,6.624605988000001,0.012955999999999275,-0.1717029999999993
2024-11-16 00:06:08,67377168858fce0007cc457f,PNUT-USDT,sell,2.0348,3.16,6.429968,0.006429968,maker,USDT,limit,0,,0.006429968,6.436397968,-0.18801999999999966,-0.35972299999999896
2024-11-16 00:05:49,6737715ccf1a870007ad35f0,PNUT-USDT,buy,2.0663,1.72,3.554036,0.003554036,maker,USDT,limit,0,,0.003554036,3.557590036,-0.05417999999999976,-0.41390299999999874
2024-11-16 00:05:47,6737715a858fce0007cbe0a2,PNUT-USDT,sell,2.0627,1.72,3.547844,0.003547844,maker,USDT,limit,0,,0.003547844,3.551391844,-0.006192000000000082,-0.42009499999999883
2024-11-16 00:05:44,6737710f2ab010000798b6d8,PNUT-USDT,buy,2.0534,1.69,3.470246,0.003470246,maker,USDT,limit,0,,0.003470246,3.473716246,0.015717000000000144,-0.4043779999999987
2024-11-16 00:04:38,673771151d476000075b043f,PNUT-USDT,buy,2.0981,3.07,6.441167,0.006441167,maker,USDT,limit,0,,0.006441167,6.447608167,0.0,-0.4043779999999987
2024-11-16 00:04:37,6737710957d33600075f4135,PNUT-USDT,sell,2.0971,3.07,6.438097,0.006438097,maker,USDT,limit,0,,0.006438097,6.444535097,-0.0030699999999996615,-0.40744799999999837
2024-11-16 00:04:29,67377109f53c5a0007ce902d,PNUT-USDT,sell,2.0954,1.69,3.541226,0.003541226,maker,USDT,limit,0,,0.003541226,3.544767226,0.0,-0.40744799999999837
2024-11-16 00:04:25,6737710908e10c0007189aca,PNUT-USDT,buy,2.0822,1.69,3.518918,0.003518918,taker,USDT,limit,0,,0.003518918,3.5224369180000004,0.022308000000000546,-0.3851399999999978
2024-11-16 00:04:24,673770f32ab010000797dc69,PNUT-USDT,buy,2.0888,1.66,3.467408,0.003467408,maker,USDT,limit,0,,0.003467408,3.470875408,0.0,-0.3851399999999978
2024-11-16 00:04:22,67377106adc2120007ba4967,PNUT-USDT,sell,2.0984,0.41,0.860344,0.000860344,taker,USDT,market,0,,0.000860344,0.861204344,0.015935999999999718,-0.3692039999999981
2024-11-16 00:04:22,67377106adc2120007ba4967,PNUT-USDT,sell,2.0985,1.23,2.581155,0.002581155,taker,USDT,market,0,,0.002581155,2.583736155,0.0,-0.3692039999999981
2024-11-16 00:04:02,673770f2f53c5a0007cdd86e,PNUT-USDT,sell,2.1315,1.66,3.53829,0.00353829,maker,USDT,limit,0,,0.00353829,3.5418282899999998,0.0,-0.3692039999999981
2024-11-16 00:04:01,673770d657d33600075dbea6,PNUT-USDT,buy,2.1509,1.62,3.484458,0.003484458,maker,USDT,limit,0,,0.003484458,3.487942458,-0.031428000000000136,-0.4006319999999982
